,Dataset,Language,Percentage,Benchmark suite,KL-divergence from the Pile (Hashed WPT bigrams),KL-divergences from the Pile (Pythia unigrams),KL-divergence from the Pile (Pythia unigrams),KL-divergence from the Pile (Pythia unigrams) (low CI),KL-divergence from the Pile (Pythia unigrams) (high CI),Accuracy (LM),Normalized score (LM),Accuracy (PMI_DC),Normalized score (PMI_DC),Log perplexity of correct target,Log perplexity of input
0,bicycles-cstheory,english,0,StackExchange,10.376257509618453,"[0.6802163578737558, 0.6538634453252689, 0.6693055768126496, 0.6553025603032306, 0.6560232010887002, 0.6616327216085018, 0.6718269183465172, 0.6648103640240638]",0.664122643172836,0.6588132118688435,0.670838107141474,0.5,0.0,0.502,0.40000000000000036,5.512077489416581,2.800118335545063
1,bicycles-cstheory,finnish,100,StackExchange,10.25307137473446,"[2.7297388010399657, 2.6992303364413517, 2.797293343252104, 2.7873973542525063, 2.8758399172921645, 2.946927680243606, 2.8082391144062977, 2.7686696504498034]",2.8016670246722253,2.7585220747998314,2.8639546670096814,0.5,0.0,0.491,-1.8000000000000016,4.1786154837319485,2.8028533769845962
2,bicycles-cstheory,spanish,100,StackExchange,10.431759855245172,"[2.6257271069150283, 2.674939091461106, 2.4892202060202706, 2.6538261412069035, 2.7371802815729653, 2.5586609883276044, 2.524116529239976, 2.7012210889456276]",2.620611429211185,2.559757464020907,2.674880562316374,0.5,0.0,0.497,-0.6000000000000005,4.7374424037757565,2.690479389548302
3,bicycles-cstheory,french,100,StackExchange,10.49768354774299,"[2.6720280480956378, 2.6167998058630557, 2.6717265978438203, 2.498001359385995, 2.6064721097337578, 2.644706358444486, 2.5297339380803288, 2.6104787017584465]",2.606243364900691,2.5563389571438493,2.640943187059365,0.5,0.0,0.501,0.20000000000000018,4.750642270794371,2.6195223244428636
4,bicycles-cstheory,german,100,StackExchange,10.406889396258368,"[2.631398922601642, 2.744873170638514, 2.7272581203824866, 2.7043126639151773, 2.752600787297882, 2.6822012931038377, 2.536066014096908, 2.528776730933528]",2.663435962871247,2.5942031930595615,2.712521075217812,0.5,0.0,0.508,1.6000000000000014,4.638487727854983,2.708557546496391
5,bicycles-cstheory,indonesian,100,StackExchange,10.360611667914798,"[2.8868455537545947, 3.0151911826869986, 2.861875830803102, 2.938319469818039, 3.03063825299629, 3.0053057789707327, 2.9129034364809328, 2.996012658116857]",2.9558865204534435,2.911571652221234,2.993903556875105,0.5,0.0,0.518,3.600000000000003,4.536524955347326,2.6154774951934816
6,bicycles-cstheory,swahili,100,StackExchange,10.419399483098184,"[3.1680387278385034, 3.26552910602588, 3.107405935711545, 3.1906897600408652, 3.295463253993845, 3.2605309532131637, 3.179284886862264, 3.2723202240735785]",3.217407855969956,3.1704189555512077,3.256366592583852,0.5,0.0,0.508,1.6000000000000014,4.52377328374004,3.3058800084590914
