,Dataset,Language,Percentage,Benchmark suite,Mean max cosine similarity,MAUVE score,KL-divergence from the Pile (Hashed WPT bigrams),KL-divergences from the Pile (Pythia unigrams),KL-divergence from the Pile (Pythia unigrams),KL-divergence from the Pile (Pythia unigrams) (low CI),KL-divergence from the Pile (Pythia unigrams) (high CI),Accuracy (LM),Normalized score (LM),Accuracy (PMI_DC),Normalized score (PMI_DC),Log perplexity of correct target,Log perplexity of input
0,bicycles-cstheory,english,0,StackExchange,0.8934057474732399,0,10.332458716873568,"[0.7021809418085184, 0.6771300302283403, 0.6918983248363265, 0.6772082310378494, 0.6795724335819415, 0.6862461037843435, 0.6955570643890989, 0.6880515732056222]",0.6872305878590051,0.6816394282979007,0.693483540652861,0.882,76.4,0.962,92.39999999999999,4.405170293161645,2.8048676755428312
1,bicycles-cstheory,finnish,100,StackExchange,0.9195423591732979,0,10.207049714617101,"[2.743723037098849, 2.7140241942704764, 2.811469578407671, 2.801141620649151, 2.890376741045249, 2.961956230940013, 2.8230928640127533, 2.7833035616118713]",2.816135978504504,2.773213237192275,2.876636389698002,0.687,37.40000000000001,0.859,71.8,4.270279321575537,2.7961741741895674
2,bicycles-cstheory,spanish,100,StackExchange,0.882245333313942,0,10.406205759349657,"[2.6421495918310525, 2.692073786314354, 2.5064511114118355, 2.6700545394295156, 2.754344311156438, 2.5771123899487933, 2.5420660830970743, 2.7182936941294464]",2.6378181884148137,2.5785625627572792,2.692062128413423,0.754,50.8,0.905,81.0,4.412752106306609,2.6814115278720854
3,bicycles-cstheory,french,100,StackExchange,0.8877592180967331,0,10.48131431422473,"[2.688740013546363, 2.6344963154712637, 2.688845072920829, 2.515088605474003, 2.6243997087272763, 2.6632817162724183, 2.548045431312889, 2.6282057896089603]",2.6238878316667504,2.575051445350608,2.658040383128805,0.83,65.99999999999999,0.91,82.0,4.230271289406286,2.611736026883125
4,bicycles-cstheory,german,100,StackExchange,0.8873798753023148,0,10.37515213981052,"[2.643911412362127, 2.75788816787949, 2.739905724192504, 2.7165180407567746, 2.765792548422706, 2.696323322626018, 2.5500150055730177, 2.5423943954881714]",2.676593577162601,2.609305150886031,2.7252348880011517,0.803,60.60000000000001,0.902,80.4,4.117516088077799,2.6987734966278074
5,bicycles-cstheory,indonesian,100,StackExchange,0.8966571989655495,0,10.329732483073736,"[2.9006038140692607, 3.0293664560004196, 2.8760539139039074, 2.951853313022139, 3.0449540828910804, 3.020350378775705, 2.9276593649748426, 3.0102466303367335]",2.9701359942467613,2.926195299390278,3.008488592764971,0.736,47.199999999999996,0.883,76.6,4.227486726711504,2.6051807417869566
6,bicycles-cstheory,swahili,100,StackExchange,0.8973571089506149,0,10.390944383341123,"[3.1784681196737585, 3.2764604570885685, 3.118352212004386, 3.200963017504172, 3.3065013415144957, 3.272335038523016, 3.1907671011349885, 3.2832461637549604]",3.228386681399793,3.1835254244483164,3.2673272656050174,0.691,38.19999999999999,0.829,65.8,4.434915219783783,3.297859668254852
